EvaluationKey,Eval Script,EvaluationSet,TrainingImgs,CropHuman,NumPredictedBibs,MeanBibDetModelPerformance,MeanBibDetConfidence,MeanBibDetPrecision,MeanBibDetRecall,MeanBibDetFScore,NumberOfDetectedTextRegions,MeanTextDetectionPerformance,MeanMaxCharacterPerformance,MeanTruePositivesRate,MeanFalseNegativeRate,MeanFalsePositivesRate,BibRuntime,OcrRuntime,PersonRuntime,TextRuntime,TotalRuntime
I-1-CR,./eval.sh i 1 1,Ideal,1,Yes,12,0.11,0.99,0.15,0.15,0.15,12,0.42,0.02,0.01,0.99,0.04,8.99,0.13,1.08,8.08,18.27
I-1-NC,./eval.sh i 1 0,Ideal,1,No,32,0.25,1.00,0.17,0.15,0.16,32,0.69,0.07,0.03,0.97,0.19,6.04,0.16,N/A,10.53,16.73
I-100-CR,./eval.sh i 100 1,Ideal,100,Yes,57,0.50,0.96,0.08,0.08,0.08,57,0.28,0.06,0.06,0.94,0.10,10.49,0.19,0.95,11.42,23.05
I-100-NC,./eval.sh i 100 0,Ideal,100,No,72,0.61,0.98,0.16,0.15,0.15,72,0.49,0.11,0.06,0.94,0.29,6.08,0.25,N/A,11.15,17.48
I-500-CR,./eval.sh i 500 1,Ideal,500,Yes,49,0.46,0.95,0.17,0.14,0.15,49,0.45,0.14,0.11,0.89,0.11,10.05,0.15,0.94,9.94,21.07
I-500-NC,./eval.sh i 500 0,Ideal,500,No,77,0.68,0.97,0.26,0.24,0.24,77,0.68,0.26,0.22,0.78,0.30,6.05,0.15,N/A,9.40,15.60
I-ALL-CR,./eval.sh i 722 1,Ideal,722,Yes,54,0.50,0.96,0.07,0.06,0.06,54,0.41,0.11,0.09,0.91,0.13,10.43,0.18,0.95,10.29,21.85
I-ALL-NC,./eval.sh i 722 0,Ideal,722,No,99,0.74,0.97,0.14,0.11,0.12,99,0.69,0.27,0.20,0.80,0.48,6.07,0.22,N/A,8.24,14.52
R-1-CR,./eval.sh r 1 1,Realistic,1,Yes,28,0.47,0.96,0.04,0.02,0.03,28,0.00,0.00,0.00,1.00,0.00,15.30,0.19,0.90,13.62,30.01
R-1-NC,./eval.sh r 1 0,Realistic,1,No,39,0.57,0.97,0.08,0.04,0.05,39,0.59,0.05,0.02,0.99,0.08,6.11,0.16,N/A,11.36,17.63
R-100-CR,./eval.sh r 100 1,Realistic,100,Yes,90,0.48,0.96,0.03,0.01,0.02,90,0.10,0.03,0.01,0.99,0.03,16.75,0.30,0.96,22.27,40.28
R-100-NC,./eval.sh r 100 0,Realistic,100,No,105,0.55,0.97,0.12,0.06,0.07,105,0.40,0.10,0.05,0.95,0.14,6.06,0.29,N/A,16.58,22.94
R-500-CR,./eval.sh r 500 1,Realistic,500,Yes,91,0.49,0.95,0.07,0.04,0.04,91,0.22,0.07,0.01,0.99,0.08,15.81,0.27,0.96,17.82,34.86
R-500-NC,./eval.sh r 500 0,Realistic,500,No,138,0.62,0.95,0.22,0.12,0.15,138,0.72,0.29,0.15,0.85,0.32,6.07,0.23,N/A,15.23,21.53
R-ALL-CR,./eval.sh r 722 1,Realistic,722,Yes,118,0.56,0.95,0.06,0.04,0.04,118,0.47,0.15,0.07,0.93,0.19,15.85,0.26,0.96,16.95,34.02
R-ALL-NC,./eval.sh r 722 0,Realistic,722,No,161,0.71,0.96,0.18,0.10,0.12,161,0.80,0.34,0.23,0.77,0.36,6.05,0.27,N/A,15.80,22.12